observation_id,example_idx,concept_index,raw_ce,adjusted_ce
104,8,8,-0.01314973955353099,0.01557019580989779
105,8,9,0.01636929313341774,0.02218627925019972
106,8,10,0.08191246725618835,0.06392925488545034
107,8,11,0.01145202480256555,-0.00653118756817245
108,8,12,0.0270871054381132,0.0270871054381132
109,9,1,0.03683010675013061,0.04291468086307628
110,9,2,0.00485596060752866,0.00612298520659537
111,9,3,0.05374049954116342,0.04502470864738875
112,9,4,0.1203505185743172,0.26962474088198163
113,9,5,1.4110129096855717,1.655471367205071
114,9,6,0.24663883385558916,0.00236564799939575
115,9,7,0.02251357336839043,0.00676115022425246
116,9,8,0.02450160806377728,0.01421878005550252
117,9,9,0.00758125012119608,0.02808831740850485
118,9,10,0.0321737676858902,0.03337941967087499
119,9,11,0.0548507720232009,0.0560564240081857
120,9,12,0.0250147935003042,0.0250147935003042
121,10,1,0.01693224099775153,-0.0011603520029042
122,10,2,0.00857964654763537,0.00906253643349273
123,10,3,0.05273433340092497,0.06166096482137431
124,10,4,-0.09743353724479677,-0.02820059350464766
125,10,5,0.8134120255708694,0.9537238153142664
126,10,6,0.468882218003273,0.4586635071422576
127,10,7,0.01428876382609206,0.03707458007516687
128,10,8,0.03980398488541447,0.06529876232840415
129,10,9,0.03764769559105236,0.06731434181480801
130,10,10,0.14152590557932848,0.156558360728144
131,10,11,-0.0527190901339054,-0.03768663498508988
132,10,12,0.0268824454396963,0.0268824454396963
133,11,1,0.2910504092772802,0.2535943675351551
134,11,2,0.09885922571023306,0.11658485288051838
135,11,3,0.18299334247907,0.1545986846836628
136,11,4,-0.03371917208035799,0.06290701757447964
137,11,5,0.6593968818585079,0.743749753282083
138,11,6,0.677197809020678,0.6460203413530303
139,11,7,0.32799007246891654,0.4180887429275214
140,11,8,0.19101174424091977,0.2788340633857326
141,11,9,0.2846481452385584,0.4219569529125471
142,11,10,0.4257995933294296,0.4773833138410763
143,11,11,0.2893836051225662,0.3409673256342129
144,11,12,0.1554221659898758,0.1554221659898758
145,12,1,0.04773380638410644,0.03175034909327503
146,12,2,0.01135165741046269,0.01628364802510676
147,12,3,0.04396660098185144,0.049482210763083
148,12,4,0.02591728791594502,0.16137584179298592
149,12,5,0.05846087262034417,0.1860077380970923
150,12,6,0.04323109239339831,0.14670263196504213
151,12,7,0.02484892650196946,0.04058202552500085
152,12,8,0.01112100171546136,0.01724441892200344
153,12,9,0.01579588993142046,0.03863938880427516
154,12,10,0.04115054756402971,0.05789795029638877
155,12,11,0.0748154744505882,0.09156287718294726
156,12,12,0.0244043637067079,0.0244043637067079
157,13,1,0.09009535020838176,0.08676570079342999
158,13,2,0.02958406570057073,0.02229155826800629
159,13,3,0.05117917588601509,0.03868694288082717
160,13,4,0.10674946941435336,0.6760886936552952
